record_id,airport_name,altitude_bin,aircraft_model,wildlife_number_struck_actual,effect_impact_to_flight,flight_date,effect_indicated_damage,aircraft_airline,origin_state,phase_of_flight,conditions_precipitation,conditions_sky,wildlife_species,pilot_warned_of_wildlife,total_cost,feet_above_ground
229289,CHICAGO MIDWAY INTL ARPT,> 1000 ft,B-737-300,1,none,2004-09-08,No damage,SOUTHWEST AIRLINES,Illinois,Climb,none,No Cloud,Unknown bird - small,N,0,2500.0
227489,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,EMB-145,1,none,2004-09-08,Caused damage,MESA AIRLINES,North Carolina,Approach,none,Some Cloud,Unknown bird - small,N,0,200.0
223635,BUFFALO-NIAGARA INTL,< 1000 ft,CL-RJ700,1,none,2004-09-09,No damage,COMAIR AIRLINES,New York,Landing Roll,none,Overcast,Unknown bird - small,N,0,0.0
225987,PORT COLUMBUS INTL,< 1000 ft,MD-88,1,none,2004-09-09,No damage,DELTA AIR LINES,Ohio,Approach,none,Overcast,Unknown bird - small,N,0,200.0
229415,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,> 1000 ft,MD-88,1,none,2004-09-09,No damage,DELTA AIR LINES,Kentucky,Climb,none,No Cloud,Unknown bird - medium,N,0,1100.0
226320,GERALD R FORD INTL,< 1000 ft,A-320,1,Precautionary Landing,2004-09-09,Caused damage,NORTHWEST AIRLINES,Michigan,Take-off run,none,No Cloud,Ring-billed gull,N,0,0.0
227423,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-82,1,none,2004-09-09,No damage,AMERICAN AIRLINES,Texas,Landing Roll,none,No Cloud,Unknown bird - small,N,0,0.0
229542,GEORGE BUSH INTERCONTINENTAL,< 1000 ft,EMB-120,1,none,2004-09-09,No damage,SKYWEST AIRLINES,Texas,Landing Roll,none,No Cloud,Unknown bird - small,Y,0,0.0
230485,SALT LAKE CITY INTL,< 1000 ft,B-737-700,1,none,2004-09-09,No damage,SOUTHWEST AIRLINES,Utah,Approach,none,No Cloud,Unknown bird - small,Y,0,300.0
224536,BATON ROUGE METRO,< 1000 ft,BE-300 KING,1,none,2004-09-10,No damage,BUSINESS,Louisiana,Climb,none,No Cloud,Unknown bird - medium,N,0,350.0
233724,LAGUARDIA NY,< 1000 ft,HAWKER 800,1,none,2004-09-10,No damage,FLIGHT OPTIONS,New York,Approach,none,No Cloud,Unknown bird - medium,N,0,1000.0
229474,ALBUQUERQUE INTL,> 1000 ft,B-737-300,1,none,2004-09-10,No damage,SOUTHWEST AIRLINES,New Mexico,Approach,none,No Cloud,Unknown bird - medium,N,0,5000.0
